,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
1918,59250,6,ApproveAfterChange,Daniel Blair,http://review.couchbase.org/#/c/59250/6,2016-01-29,10:02:47.022000000,2016-02-05,16:20:28.845000000
1920,59251,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/59251/2,2016-01-29,11:19:02.129000000,2016-01-29,13:33:07.100000000
1921,59255,1,Rejected,Marlie Beasley,http://review.couchbase.org/#/c/59255/1,2016-01-29,13:02:28.609000000,2016-01-29,13:03:30.071000000
1922,59256,1,Rejected,Marlie Beasley,http://review.couchbase.org/#/c/59256/1,2016-01-29,13:02:28.610000000,2016-01-29,13:03:20.177000000
1924,59258,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/59258/2,2016-01-29,13:06:19.438000000,2016-01-29,13:52:06.748000000
1926,59291,2,DirectlyApprove,James Mcgee,http://review.couchbase.org/#/c/59291/2,2016-01-29,21:50:20.959000000,2016-02-01,08:52:05.625000000
1928,59342,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/59342/2,2016-02-01,14:19:24.601000000,2016-02-01,15:02:21.495000000
1930,59451,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/59451/2,2016-02-03,08:55:07.811000000,2016-02-03,08:59:25.718000000
1932,59508,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/59508/2,2016-02-04,14:12:47.446000000,2016-02-04,16:07:32.756000000
1934,59557,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/59557/2,2016-02-05,18:07:51.997000000,2016-02-07,17:52:25.067000000
1936,60041,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/60041/2,2016-02-16,13:19:49.540000000,2016-02-16,13:21:34.220000000
1943,60201,7,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/60201/7,2016-02-18,17:44:56.636000000,2016-02-23,18:39:14.344000000
1945,60243,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/60243/2,2016-02-19,09:30:54.921000000,2016-02-19,12:40:33.497000000
1947,60548,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/60548/2,2016-02-26,11:28:12.080000000,2016-02-26,11:31:20.751000000
1950,60562,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/60562/3,2016-02-26,16:49:21.228000000,2016-03-18,14:00:32.233000000
1952,60696,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/60696/2,2016-03-01,10:20:59.474000000,2016-03-01,10:21:42.115000000
1954,60700,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/60700/2,2016-03-01,10:42:42.809000000,2016-03-01,16:01:46.922000000
1956,60922,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/60922/2,2016-03-04,11:32:28.807000000,2016-03-11,13:44:06.491000000
1961,61226,5,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/61226/5,2016-03-10,11:38:54.922000000,2016-03-10,11:46:35.751000000
1966,61423,5,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/61423/5,2016-03-14,11:40:36.940000000,2016-03-14,13:10:50.102000000
1968,61426,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/61426/2,2016-03-14,13:45:30.159000000,2016-03-14,13:59:58.663000000
1970,61569,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/61569/2,2016-03-16,13:26:45.181000000,2016-03-16,13:34:55.514000000
1972,61570,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/61570/2,2016-03-16,13:48:29.222000000,2016-03-16,13:51:25.217000000
1974,61582,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/61582/2,2016-03-16,17:23:04.830000000,2016-03-18,08:30:14.205000000
